Sector,Cumulative_Return,Avg_Volatility,Ann_Volatility,CAGR,Sharpe_Ratio
Metal,1.6222064206532396,0.021625650236298342,0.34329655479186366,0.3789725637908088,0.9000165002475335
Pharma,1.0813304518569207,0.016204778504484343,0.2572428838425045,0.276772968900602,0.803804427208947
Auto,0.9087576481934604,0.017636284083799723,0.2799673304221241,0.24046237703486484,0.6088652443049271
FinServ,0.9546256130103394,0.020521590402385145,0.32577014827344614,0.25032004882354575,0.5535192520837976
Energy,0.8879327653447051,0.019807396387293202,0.31443266976274215,0.23593464963128286,0.5277271275802551
Realty,0.777551349154178,0.024659835978154077,0.3914627602190335,0.2113622953567389,0.36111300926208934
Banking,0.5260792078992872,0.019101255890113855,0.3032230368854938,0.15131021629485364,0.26815316253678584
FMCG,0.3728800738387379,0.015562054336137353,0.2470399539761628,0.11141827575426899,0.16765820705368772
IT,0.2336512705388873,0.01962157367467951,0.3114828256496026,0.07250041799767803,0.00802746665875836
Media,-0.013455648137024254,0.024832270501763072,0.3942000734205013,-0.004505484954140937,-0.18900423916122516
